id;available;delivery;pickup;store;url;vendor;name;category;price;oldprice;currencyId;picture;description;param;sales_notes;warranty;country_of_origin;barcode;bid;cbid
6fuT6j8svc4h;true;true;false;false;https://amo-led.ru/product/apple_iphone_6_32gb_rfb;Apple;Apple iPhone 6 32Gb Space Gray восстановленный;Мобильные телефоны;10099;11500;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/6/SpaceGray/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
pRRUJe9EehV8;true;true;false;false;https://amo-led.ru/product/apple_iphone_6_64gb_rfb;Apple;Apple iPhone 6 64Gb Gold восстановленный;Мобильные телефоны;10999;12400;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/6/Gold/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
YjWHVlKfvRC9;true;true;false;false;https://amo-led.ru/product/apple_iphone_6_64gb_rfb;Apple;Apple iPhone 6 64Gb Silver восстановленный;Мобильные телефоны;10999;12400;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/6/Silver/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
B8AaDwd68Nvq;true;true;false;false;https://amo-led.ru/product/apple_iphone_6_64gb_rfb;Apple;Apple iPhone 6 64Gb Space Gray восстановленный;Мобильные телефоны;10999;12400;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/6/SpaceGray/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
2WlywBZwY6Fs;true;true;false;false;https://amo-led.ru/product/apple_iphone_6_plus_16gb_rfb;Apple;Apple iPhone 6 Plus 16Gb Gold восстановленный;Мобильные телефоны;11399;12900;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/6Plus/Gold/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
AzPQKtb9GBLo;true;true;false;false;https://amo-led.ru/product/apple_iphone_6_plus_16gb_rfb;Apple;Apple iPhone 6 Plus 16Gb Silver восстановленный;Мобильные телефоны;11399;12900;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/6Plus/Silver/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
YnJwpEtSrDm9;true;true;false;false;https://amo-led.ru/product/apple_iphone_6_plus_16gb_rfb;Apple;Apple iPhone 6 Plus 16Gb Space Gray восстановленный;Мобильные телефоны;11399;12900;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/6Plus/SpaceGray/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
R2t5sVbQkgZR;true;true;false;false;https://amo-led.ru/product/apple_iphone_6_plus_64gb_rfb;Apple;Apple iPhone 6 Plus 64Gb Gold восстановленный;Мобильные телефоны;13299;15000;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/6Plus/Gold/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
lNZpOHQWWSMN;true;true;false;false;https://amo-led.ru/product/apple_iphone_6_plus_64gb_rfb;Apple;Apple iPhone 6 Plus 64Gb Silver восстановленный;Мобильные телефоны;13299;15000;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/6Plus/Silver/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
T3pO1yYKOWBm;true;true;false;false;https://amo-led.ru/product/apple_iphone_6_plus_64gb_rfb;Apple;Apple iPhone 6 Plus 64Gb Space Gray восстановленный;Мобильные телефоны;13299;15000;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/6Plus/SpaceGray/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
